start,end,N,SS,FerL,bsfs,FayH,ZngE,TajD,FulD,Colless,btree,path,iColless,ibtree
0,10001.0,250,93,-0.916884893093179,4.336152992851285,0.037334946722851835,1.6980975648535674,2.14545655254983,-0.6380493375782191,0.02573810257716071,0.8459480588391621,8110027,0.06224899598393574,-2.0673996958790894
0,10001.0,250,91,-0.7556629131947118,5.708660516455197,0.05777951160197629,1.555395236977968,2.119051582042004,-0.5855896800030193,0.0337182061579652,-0.047215296701242686,8110028,0.05714146910221531,-1.4944524776128534
0,10001.0,250,86,-1.317159279933361,3.3399825285544438,0.05989901453745325,2.472771832690308,3.1650221015337983,-2.1394300464892297,0.029528508298426695,0.5550923709590453,8110029,0.04601716825225164,-0.8850341180517777
0,10001.0,250,89,-1.1493983789855642,5.273331354888128,0.026383979656479782,2.009442572894406,2.42573154684654,-1.1461555644002286,0.03502526233968131,0.0047567890354575215,8110030,0.05345344511687302,-1.253614413090925
0,10001.0,250,88,-0.7194070231513323,2.896572578370598,0.07574408904235172,1.5993963787118788,2.285893725135966,0.11927834438171045,0.03849947135054264,-0.3857237986854381,8110031,0.037287398441693036,-0.0999216702900768
0,10001.0,250,113,-1.0729762003324812,5.213485018570691,0.0475305302581034,2.014759734555092,2.5575786215930467,-0.7380490579983852,0.029424148205726124,0.5013502653590142,8110032,0.042223733644254434,-0.4947079010984471
0,10001.0,250,115,-1.392344966439215,4.3483210357473165,0.04307960717914972,2.505511588982789,3.0744661955878607,-1.0992274114043359,0.030994947532063732,0.37808909510184935,8110033,0.04756121259230471,-1.051284082892622
0,10001.0,250,103,-1.432840118064495,4.8682935041678475,0.05198572581038459,2.6201322147279646,3.2672226480965016,-1.4061927546842967,0.030873493975903613,0.4157824894961124,8110034,0.042846501212222166,-0.5232744177013257
0,10001.0,250,100,-0.8216739326792827,3.7388137334993954,0.10939857550699117,1.9660035822648707,2.9119008881605954,-1.7233245762528129,0.02256918492829881,1.0200167620900191,8110035,0.04009835869532721,-0.2822379976299371
0,10001.0,250,125,-1.354354572046034,0.6980282544541201,-0.06362310715937487,1.8144372438683172,1.5989540696747797,-0.6647799784181928,0.03227182925249385,0.2229276754195652,8110036,0.05698276978883275,-1.2559079189111126
