start,end,N,SS,TajD,FerL,ZngE,bsfs,FayH,FulD,Colless,btree,path,iColless,ibtree
0,10001.0,250,44,-1.9960830252465624,-0.6560472555426448,-0.3377449025083852,-2.278285584477584,-0.26113002138176805,1.103829521929272,0.07733165914277458,-2.6980590946379435,9030010,0.07938204430625727,-2.4431646042648807
0,10001.0,250,74,0.121467053131878,-0.5608772574889862,0.506508448146977,6.0834549380774e-06,-0.07020647259917287,-0.03171267649381603,0.04712397979012825,-0.4058018927221856,9030011,0.06822575662451293,-2.020727914293695
0,10001.0,250,67,0.2757612127308771,0.23179108704908494,-0.06526286671575728,1.3542178571870571,0.05488397068753289,-1.068324413454441,0.04036216550790978,-0.057815644774955564,9030012,0.05504599041326596,-1.4012261469452711
0,10001.0,250,51,0.6426309318494662,-0.399109215293623,0.6020461974765102,1.066977693775022,-0.007505796420292562,0.9130520657034856,0.03649544414216003,0.09225985270533814,9030013,0.04734421557196529,-0.9115886468907602
0,10001.0,250,39,-1.4436384218624945,-0.8049096525036719,0.02479619895719811,-1.5478118073390985,-0.2423285774085332,1.5936124704483068,0.06948615576676208,-2.531682314049595,9030014,0.057508258841818885,-1.5551431561573863
0,10001.0,250,59,-0.49852772153162206,-0.5597988026971182,0.2322915840578633,-0.8385960028766878,-0.12085502679126485,1.9121569183075693,0.055495021560897966,-1.2022212071160552,9030015,0.0768974515573816,-2.4643991110025825
0,10001.0,250,50,-0.23717552828307856,0.4549515299903521,-0.4698625820288063,0.1853967694082083,0.0483972815181456,-0.06896314663617187,0.03617383164290879,-0.1546550640750202,9030016,0.040452131105065424,-0.14717878191979872
0,10001.0,250,49,-0.5622902925129551,0.5363122998752691,-0.6769376866638733,-0.5373472613948412,0.034476520118953705,-0.011444795801529557,0.04335849339633577,-0.4799610288514403,9030017,0.05114004404715637,-0.9733339123105286
0,10001.0,250,62,-1.4068934096071022,0.08769465706799996,-0.6899398053789981,-2.324445284374734,-0.09833980979476968,4.56855142341258,0.06510180506974134,-1.8746967339401543,9030018,0.08142246404974737,-2.8824091625586923
0,10001.0,250,76,0.3394299064297416,-1.4342939425298156,1.3083106785369325,0.03360606099489242,-0.17683786709733348,-1.5384320048906397,0.047330762254975234,-0.4974453001022938,9030019,0.04501158756891365,-0.564684506470464
0,10001.0,250,60,-0.41191314359240666,-0.42008251140896097,0.1576181888325132,-0.5305337523851515,-0.093531536180666,-1.4380872487163567,0.039228598983748614,-0.21062199330946574,9030020,0.058330094571835724,-1.0999444045790374
0,10001.0,250,46,-0.901541428028532,-0.00942369603582465,-0.3842132009586011,-1.2325665900983165,-0.07435908800431476,2.0758741951156923,0.07313123461588293,-1.5364565673149342,9030021,0.04944779116465864,-0.9717558333952486
