start,end,N,SS,TajD,FayH,FulD,ZngE,FerL,bsfs,Colless,btree,path,iColless,ibtree
0,10001.0,250,63,-1.5421222249493212,-0.4299589254740009,-0.3770391951913381,1.0441364914628792,-2.136889760329806,-1.9339389518773404,0.05636594243780535,-0.9722393893284432,9070016,0.08045623353629572,-2.195469051083557
0,10001.0,250,73,-0.07423817938156327,-0.31582329391769043,-1.2288906286319263,1.72629684387035,-2.1796821581235233,-0.4794466847169953,0.04776247848537006,-0.5362038115856284,9070017,0.0538630950601413,-0.8658136276710553
0,10001.0,250,48,-0.8133184228526993,-0.07046839293512559,-0.3173851352554716,-0.32755754212221305,-0.03302609110183275,-0.8273316930902356,0.052706426880542716,-0.845004749433514,9070018,0.0536095996890789,-1.1778816039787925
0,10001.0,250,53,-1.066906009699433,-0.1586511575048903,0.4380240342662416,-0.06471903717500392,-0.4988294304131148,-1.0375762344071089,0.04598523124757093,-0.6787694696142129,9070019,0.0651395906205467,-1.5664337210912442
0,10001.0,250,47,-1.4361511435640542,0.020081927149476462,3.465436384474488,-1.3576926236846387,0.9104370659126828,-1.9271496370802803,0.05647836788951036,-1.716526532158399,9070020,0.04297373827105658,-0.7325066716210087
0,10001.0,250,46,-0.6457857246311934,0.05425509169944764,0.9352528642313028,-0.8527058620650734,0.7106902324060662,-0.5349207024176063,0.05109686056052165,-0.6608255047350968,9070021,0.07118797771732091,-2.251783669548024
0,10001.0,250,46,-1.6051291915228183,-0.5835773023741432,0.1748386436417104,1.7392662828101102,-3.0273900604121,-2.0950236069133683,0.0633712268428553,-2.025492701973296,9070022,0.06749039167422377,-2.00681845068519
0,10001.0,250,35,-1.7781646527645991,-0.02600958542190781,-1.3326743270789636,-1.3907362149451914,0.7822385175743877,-1.248616605319158,0.07817517949557143,-2.0789540750854147,9070023,0.05254350736278448,-1.2308896768519668
0,10001.0,250,74,-0.9493703250108678,-0.0150351518376611,0.9455292573211418,-0.7556801144259727,0.41520858376160175,-1.039814424442132,0.03975363820874898,-0.24690616887509395,9070024,0.060180815427609065,-1.693218056975908
0,10001.0,250,68,-0.11253572697127676,-0.20848554039300074,-0.5678189987086356,1.0751277251931293,-1.3942188557520512,-0.5054629288595384,0.06665869433067256,-1.4199627737488352,9070025,0.05261368052856588,-0.8285199315931238
0,10001.0,250,51,-1.345046064960184,0.07794700117343221,3.679593925666943,-1.599110328165653,1.2562383377362252,-1.5210336578822101,0.04121535229276151,-0.21904656166070047,9070026,0.059405363389040025,-1.1030691664329135
0,10001.0,250,48,-0.6501611409521382,-0.3324705368403723,1.5109092192790097,1.23012467552631,-1.8794359421849287,-1.3034906723896462,0.05140900206717473,-1.1003280111723266,9070027,0.06302629874336052,-1.5786439288732592
0,10001.0,250,56,-0.6555060045898365,-0.012155680997476914,0.2602815710889004,-0.5076838315023477,0.2734076383559324,-0.3791081854260676,0.033296010462741915,0.3487724786667197,9070028,0.050348346792186666,-1.0592034317177723
0,10001.0,250,58,0.7500561723537851,0.0417852725084801,0.765244659943513,0.4272356409440043,-0.12154809762651375,0.9720069660916552,0.04702441786260933,-0.7947507562151147,9070029,0.05602085762404456,-1.3631748211351689
0,10001.0,250,69,-2.0976547824913068,-0.5838044938704668,0.17999834453392102,1.4400296438413356,-2.9336210890704213,-2.8016879995364823,0.10655417368398323,-3.3023273138246405,9070030,0.11047646808431884,-3.1164611260938324
0,10001.0,250,50,-1.63624857609229,-0.3773003658970369,2.0441582224314834,0.6222450323177756,-1.658927348397082,-2.1056962002579955,0.07346320766938723,-1.8005063240671235,9070031,0.1021302953750486,-3.2347908454524377
0,10001.0,250,87,-1.5558089926978194,-0.1554335353813087,2.041109828415445,-0.4894237697316373,-0.2517915498246461,-2.2059844288714583,0.07481359128269349,-2.1188316963748752,9070032,0.06542760905372642,-1.8096631812899395
0,10001.0,250,50,-1.010877803264279,-0.30231129126720896,-0.7733369363253906,0.7604552614780213,-1.4918003988736954,-1.0596482501079052,0.07082653193418836,-1.5456017870656824,9070033,0.05230848954129172,-0.8910228894301108
0,10001.0,250,58,-0.5917678049644485,0.004355305079131725,-0.1556806833622328,-0.543653431752843,0.35217516917445346,-0.9788984564830909,0.04489763114584983,-0.6349210522759732,9070034,0.05270904406155087,-1.2071024054327535
0,10001.0,250,45,-0.9675811514048254,0.035273891828153416,1.017827926280702,-1.0289970815289275,0.7566099326482757,-0.4845143313386654,0.06738783089346634,-1.7320646203991303,9070035,0.06373477782096126,-1.5085776592018876
0,10001.0,250,45,-1.7737321674488282,-0.3417921271893224,2.5695324685338874,0.28991442809267803,-1.317032136239419,-2.1177926096952278,0.06593578615537417,-1.4682136448579826,9070036,0.06630670146021876,-1.5409359351776268
0,10001.0,250,57,-0.5169385633876735,-0.1546549432733041,-1.666977881017342,0.4007138908922099,-0.7785144856047636,-0.3421055093184995,0.054417670682730936,-0.8270685799102886,9070037,0.06120935354320507,-1.2426092982182688
0,10001.0,250,35,-1.4210277704202259,-0.20696623204335893,3.0494092982700334,-0.1534538469322815,-0.5672444548406628,-1.8612581311040373,0.05794684112795265,-1.7591183862730442,9070038,0.11156453772077556,-3.5092187561676744
0,10001.0,250,55,-1.6654489289924788,-0.33712452032332235,0.6400270109984537,0.3950380545877753,-1.395516275852178,-1.9824249330354209,0.061422553394892124,-1.1960412881110467,9070039,0.06427322191993781,-1.4271951329183303
0,10001.0,250,72,0.6146412228351019,0.06686512314000596,0.8017618724238539,0.16514434871657724,0.13242828091701286,1.077868068833864,0.03765384117113617,0.06698254052162314,9070040,0.05177854274239817,-1.0758582577492637
0,10001.0,250,43,-1.39772187285684,-0.062078420394787635,4.023919585727375,-0.8808232645724611,0.3422023949838924,-2.1034006075987612,0.05381914755797384,-1.4020691806357355,9070041,0.060265254566653714,-1.6413456434859373
