start,end,N,SS,FerL,ZngE,FayH,FulD,bsfs,TajD,Colless,btree,path,iColless,ibtree
0,100001.0,250,235,-2.137001515627012,3.55802958007368,0.01557666439671847,-1.1628289229458046,7.572988783750883,4.017067980803546,0.034068325463832004,0.07117503179431636,8060025,0.05257049704193115,-1.1190482218294675
0,100001.0,250,302,-1.8317868395705703,3.0826274025576965,0.01836214199102841,-1.4082970659438654,6.973268941121336,3.5034189169666154,0.03772312250404142,-0.2765155161685704,8060026,0.05887773969779411,-1.6682333345173541
0,100001.0,250,268,-1.7212178803296176,2.9157108543431245,0.020534330668183016,-1.121259631627884,4.2072308860099135,3.339045890272134,0.047260127727157146,-0.6023360825543849,8060027,0.05909351692484222,-1.3156451627081769
0,100001.0,250,261,-1.6447757342675209,2.8076464776449392,0.023161369530926068,-0.3454798194417908,3.3636927306549387,3.238969277479515,0.03583842368866825,-0.3529281590660684,8060028,0.05164385139122799,-1.4728903447207768
0,100001.0,250,281,-1.7330085362379943,2.8896298824279536,0.013097504024542793,-0.6759111554312094,4.595253896518137,3.2587510857029285,0.03332222900819869,0.1047103152849262,8060029,0.04638200897431368,-0.9124430090154884
0,100001.0,250,227,-1.9491302321297648,3.2496083945956067,0.014980250406951834,-0.5144095113409914,7.2838396569273876,3.6755120178632095,0.033887672932817865,-0.3232585279714883,8060030,0.050472360907650456,-1.542130522016367
0,100001.0,250,272,-1.6191747224961104,2.7836257472817496,0.02595231393360549,-1.4280125467342055,7.740559809213145,3.2299769330733343,0.03880829440209819,-0.2620267059637024,8060031,0.05393421192099778,-1.5120606233861682
0,100001.0,250,254,-1.9838619702477769,3.3255580285774817,0.018023517824132116,-0.9374859360405378,7.728167187443327,3.77436757730796,0.0380026046460886,-0.06520977179976496,8060032,0.05571965280476745,-1.3567764334048404
0,100001.0,250,227,-1.6656533925465211,2.768743195412196,0.011446932619760016,-1.0943529788553252,6.467892986377479,3.1228016042382114,0.04704577554908857,-0.9748467373448029,8060033,0.06517400246145873,-2.3714879628538665
0,100001.0,250,268,-2.0875375667813967,3.425800795788564,0.006868323890684746,-1.050871033696167,5.600763290477945,3.807170207806833,0.04525275741453021,-0.7547833518935076,8060034,0.06198269781635502,-1.810798073277615
0,100001.0,250,259,-2.024327992872234,3.4397171906355952,0.025933170730158942,-1.780072115965353,7.30976836746341,3.9520576493082835,0.0217947411008391,1.2038774786974984,8060035,0.05568942436412316,-1.7966987807685384
0,100001.0,250,292,-2.039293887724769,3.4002884534030184,0.015353136406834169,-1.6085052454239048,6.081373037241505,3.832717383599881,0.0448736555040087,-0.4641500478385476,8060036,0.053094096817377034,-1.2581000707453531
0,100001.0,250,235,-1.6069966830145483,2.7136678135731125,0.017958020736227678,-0.8424975707596819,3.8356676409692074,3.1045250061167997,0.031201898902334324,0.23365566066044646,8060037,0.051271907908130215,-1.3350691113994546
0,100001.0,250,305,-1.5384242750493269,2.6812990542924235,0.030436837395709286,-1.425128951406207,7.418211287522149,3.144487573807284,0.033292888311704724,-0.02177963308695807,8060038,0.048899300907333035,-1.0342025519248967
