#/home/enes/bim/BIM.py trees/r2100000.trees,trees/r2100001.trees,trees/r2100002.trees,trees/r2100003.trees,trees/r2100004.trees,trees/r2100005.trees,trees/r2100006.trees,trees/r2100007.trees,trees/r2100008.trees,trees/r2100009.trees,trees/r2100010.trees,trees/r2100011.trees,trees/r2100012.trees,trees/r2100013.trees,trees/r2100014.trees,trees/r2100015.trees,trees/r2100016.trees,trees/r2100017.trees,trees/r2100018.trees,trees/r2100019.trees,trees/r2100020.trees,trees/r2100021.trees,trees/r2100022.trees,trees/r2100023.trees,trees/r2100024.trees,trees/r2100025.trees,trees/r2100026.trees,trees/r2100027.trees,trees/r2100028.trees,trees/r2100029.trees,trees/r2100030.trees,trees/r2100031.trees,trees/r2100032.trees,trees/r2100033.trees,trees/r2100034.trees,trees/r2100035.trees,trees/r2100036.trees,trees/r2100037.trees,trees/r2100038.trees,trees/r2100039.trees,trees/r2100040.trees,trees/r2100041.trees,trees/r2100042.trees,trees/r2100043.trees,trees/r2100044.trees,trees/r2100045.trees,trees/r2100046.trees,trees/r2100047.trees,trees/r2100048.trees,trees/r2100049.trees,trees/r2100050.trees,trees/r2100051.trees,trees/r2100052.trees,trees/r2100053.trees,trees/r2100054.trees,trees/r2100055.trees,trees/r2100056.trees,trees/r2100057.trees,trees/r2100058.trees,trees/r2100059.trees,trees/r2100060.trees,trees/r2100061.trees,trees/r2100062.trees,trees/r2100063.trees,trees/r2100064.trees,trees/r2100065.trees,trees/r2100066.trees,trees/r2100067.trees,trees/r2100068.trees,trees/r2100069.trees,trees/r2100070.trees,trees/r2100071.trees,trees/r2100072.trees,trees/r2100073.trees,trees/r2100074.trees,trees/r2100075.trees,trees/r2100076.trees,trees/r2100077.trees,trees/r2100078.trees,trees/r2100079.trees,trees/r2100080.trees,trees/r2100081.trees,trees/r2100082.trees,trees/r2100083.trees,trees/r2100084.trees,trees/r2100085.trees,trees/r2100086.trees,trees/r2100087.trees,trees/r2100088.trees,trees/r2100089.trees,trees/r2100090.trees,trees/r2100091.trees,trees/r2100092.trees,trees/r2100093.trees,trees/r2100094.trees,trees/r2100095.trees,trees/r2100096.trees,trees/r2100097.trees,trees/r2100098.trees,trees/r2100099.trees,trees/r2100100.trees,trees/r2100101.trees,trees/r2100102.trees,trees/r2100103.trees,trees/r2100104.trees,trees/r2100105.trees,trees/r2100106.trees,trees/r2100107.trees,trees/r2100108.trees,trees/r2100109.trees,trees/r2100110.trees,trees/r2100111.trees,trees/r2100112.trees,trees/r2100113.trees,trees/r2100114.trees,trees/r2100115.trees,trees/r2100116.trees,trees/r2100117.trees,trees/r2100118.trees,trees/r2100119.trees,trees/r2100120.trees,trees/r2100121.trees,trees/r2100122.trees,trees/r2100123.trees,trees/r2100124.trees,trees/r2100125.trees,trees/r2100126.trees,trees/r2100127.trees,trees/r2100128.trees,trees/r2100129.trees,trees/r2100130.trees,trees/r2100131.trees,trees/r2100132.trees,trees/r2100133.trees,trees/r2100134.trees,trees/r2100135.trees,trees/r2100136.trees,trees/r2100137.trees,trees/r2100138.trees,trees/r2100139.trees,trees/r2100140.trees,trees/r2100141.trees,trees/r2100142.trees,trees/r2100143.trees,trees/r2100144.trees,trees/r2100145.trees,trees/r2100146.trees,trees/r2100147.trees,trees/r2100148.trees,trees/r2100149.trees,trees/r2100150.trees,trees/r2100151.trees,trees/r2100152.trees,trees/r2100153.trees,trees/r2100154.trees,trees/r2100155.trees,trees/r2100156.trees,trees/r2100157.trees,trees/r2100158.trees,trees/r2100159.trees,trees/r2100160.trees,trees/r2100161.trees,trees/r2100162.trees,trees/r2100163.trees,trees/r2100164.trees,trees/r2100165.trees,trees/r2100166.trees,trees/r2100167.trees,trees/r2100168.trees,trees/r2100169.trees,trees/r2100170.trees,trees/r2100171.trees,trees/r2100172.trees,trees/r2100173.trees,trees/r2100174.trees,trees/r2100175.trees,trees/r2100176.trees,trees/r2100177.trees,trees/r2100178.trees,trees/r2100179.trees,trees/r2100180.trees,trees/r2100181.trees,trees/r2100182.trees,trees/r2100183.trees,trees/r2100184.trees,trees/r2100185.trees,trees/r2100186.trees,trees/r2100187.trees,trees/r2100188.trees,trees/r2100189.trees,trees/r2100190.trees,trees/r2100191.trees,trees/r2100192.trees,trees/r2100193.trees,trees/r2100194.trees,trees/r2100195.trees,trees/r2100196.trees,trees/r2100197.trees,trees/r2100198.trees,trees/r2100199.trees,trees/r2100200.trees,trees/r2100201.trees,trees/r2100202.trees,trees/r2100203.trees,trees/r2100204.trees,trees/r2100205.trees,trees/r2100206.trees,trees/r2100207.trees,trees/r2100208.trees,trees/r2100209.trees,trees/r2100210.trees,trees/r2100211.trees,trees/r2100212.trees,trees/r2100213.trees,trees/r2100214.trees,trees/r2100215.trees,trees/r2100216.trees,trees/r2100217.trees,trees/r2100218.trees,trees/r2100219.trees,trees/r2100220.trees,trees/r2100221.trees,trees/r2100222.trees,trees/r2100223.trees,trees/r2100224.trees,trees/r2100225.trees,trees/r2100226.trees,trees/r2100227.trees,trees/r2100228.trees,trees/r2100229.trees,trees/r2100230.trees,trees/r2100231.trees,trees/r2100232.trees,trees/r2100233.trees,trees/r2100234.trees,trees/r2100235.trees,trees/r2100236.trees,trees/r2100237.trees,trees/r2100238.trees,trees/r2100239.trees,trees/r2100240.trees,trees/r2100241.trees,trees/r2100242.trees,trees/r2100243.trees,trees/r2100244.trees,trees/r2100245.trees,trees/r2100246.trees,trees/r2100247.trees,trees/r2100248.trees,trees/r2100249.trees 100 --stats=btree --eta=etas/ben.json --out=outs/extraben.csv --r2t=0.005 --r2s=0.005
start,end,N,btree,path
9919.0,9931.0,100,0.38440862312844437,r2100003.trees
9931.0,10001.0,100,0.3730711283590604,r2100003.trees
8068.0,8172.0,100,0.01789065611514745,r2100003.trees
9108.0,9433.0,100,-0.2237414094551409,r2100003.trees
4888.0,5032.0,100,0.5501356930984157,r2100003.trees
3902.0,4814.0,100,0.7172526135563693,r2100003.trees
0.0,67.0,100,0.34046885868054405,r2100003.trees
4814.0,4888.0,100,0.3573458439848676,r2100003.trees
497.0,530.0,100,0.47340463303251373,r2100003.trees
530.0,605.0,100,0.5845409267499787,r2100003.trees
605.0,1042.0,100,0.3700779452211008,r2100003.trees
1042.0,2035.0,100,0.35488863458214676,r2100003.trees
2035.0,2096.0,100,0.635083546058903,r2100003.trees
67.0,497.0,100,0.41490478876569614,r2100003.trees
2603.0,2857.0,100,0.6173362316360818,r2100003.trees
2857.0,2915.0,100,0.6406621068923803,r2100003.trees
2915.0,3147.0,100,0.6114977633154334,r2100003.trees
3147.0,3227.0,100,0.4096784026262295,r2100003.trees
3227.0,3572.0,100,0.5871488045260522,r2100003.trees
3572.0,3816.0,100,0.5749312789099472,r2100003.trees
3816.0,3902.0,100,0.7196422522987743,r2100003.trees
2096.0,2603.0,100,0.643879432178691,r2100003.trees
6867.0,7217.0,100,-0.11021032880097596,r2100004.trees
7217.0,7306.0,100,-0.14714517767684343,r2100004.trees
7306.0,7442.0,100,-0.19066128467152077,r2100004.trees
7442.0,7931.0,100,-0.20088107710273806,r2100004.trees
7931.0,7992.0,100,-0.32912032523401,r2100004.trees
9275.0,9463.0,100,-0.38318842628234184,r2100004.trees
8696.0,8961.0,100,-0.38286128523800467,r2100004.trees
8961.0,9275.0,100,-0.3799187402064769,r2100004.trees
9463.0,9602.0,100,-0.3852239979218203,r2100004.trees
9602.0,10001.0,100,-1.1343991775412947,r2100004.trees
6719.0,6867.0,100,-0.20317809614837393,r2100004.trees
7992.0,8696.0,100,-0.3331768079564409,r2100004.trees
6586.0,6719.0,100,-0.14880413380223526,r2100004.trees
1071.0,1199.0,100,-0.04386595435212397,r2100004.trees
4556.0,4844.0,100,0.05879361023549687,r2100004.trees
0.0,190.0,100,-0.22617809971983707,r2100004.trees
190.0,221.0,100,-0.20643762449528996,r2100004.trees
221.0,256.0,100,-0.13182537883626713,r2100004.trees
268.0,545.0,100,-0.11647542290950852,r2100004.trees
545.0,1032.0,100,-0.04992925730900083,r2100004.trees
256.0,268.0,100,-0.1972546397719568,r2100004.trees
4844.0,6586.0,100,-0.1514223238674537,r2100004.trees
1199.0,1393.0,100,0.03325550969478426,r2100004.trees
1393.0,1654.0,100,0.048188503708534516,r2100004.trees
1654.0,4069.0,100,0.048188503708534516,r2100004.trees
4069.0,4556.0,100,0.05596413293047112,r2100004.trees
1032.0,1071.0,100,-0.004203780065464999,r2100004.trees
8131.0,8286.0,100,0.46941523432670285,r2100005.trees
6911.0,7202.0,100,0.5737212146245727,r2100005.trees
7444.0,8012.0,100,0.46823052212904553,r2100005.trees
8012.0,8054.0,100,0.46823052212904553,r2100005.trees
8054.0,8131.0,100,0.46947659667538133,r2100005.trees
8286.0,8771.0,100,0.5259757187739358,r2100005.trees
9614.0,10001.0,100,0.7647625927465785,r2100005.trees
8971.0,9217.0,100,0.6287473717767487,r2100005.trees
9217.0,9347.0,100,0.6001206514864601,r2100005.trees
9347.0,9461.0,100,0.6556018912248823,r2100005.trees
9461.0,9614.0,100,0.6573945166398978,r2100005.trees
6217.0,6911.0,100,0.659950339463891,r2100005.trees
8771.0,8971.0,100,0.5259757187739391,r2100005.trees
5918.0,6217.0,100,0.8977244253556683,r2100005.trees
7202.0,7444.0,100,0.46823052212904553,r2100005.trees
5415.0,5540.0,100,0.7416934226404962,r2100005.trees
5540.0,5918.0,100,0.7416934226404962,r2100005.trees
0.0,142.0,100,0.060063978847001154,r2100005.trees
142.0,612.0,100,0.04302549209577565,r2100005.trees
612.0,858.0,100,0.04302549209577565,r2100005.trees
909.0,1744.0,100,0.03464070951622758,r2100005.trees
1744.0,1842.0,100,0.03464070951622758,r2100005.trees
1842.0,2070.0,100,0.03464070951622758,r2100005.trees
858.0,909.0,100,0.04302549209577565,r2100005.trees
3592.0,3933.0,100,0.42715143926339766,r2100005.trees
3933.0,4387.0,100,0.4060522481262494,r2100005.trees
4387.0,4481.0,100,0.634960263589644,r2100005.trees
4481.0,4635.0,100,0.7177519278586706,r2100005.trees
4635.0,5415.0,100,0.7177519278586706,r2100005.trees
2070.0,3592.0,100,0.3492120479532903,r2100005.trees
7402.0,7950.0,100,0.32488852803563,r2100006.trees
4988.0,5768.0,100,0.9114501926140818,r2100006.trees
9948.0,10001.0,100,0.5537114498397913,r2100006.trees
5768.0,5866.0,100,0.3846433148583796,r2100006.trees
5866.0,6401.0,100,0.2662241397113867,r2100006.trees
6401.0,6905.0,100,0.2998825874511987,r2100006.trees
6905.0,7056.0,100,0.30999123376553644,r2100006.trees
7056.0,7402.0,100,0.30999123376553644,r2100006.trees
7950.0,8028.0,100,0.3020375064116797,r2100006.trees
9328.0,9537.0,100,0.6580845654028781,r2100006.trees
8216.0,8261.0,100,0.30381616241282194,r2100006.trees
8261.0,8671.0,100,0.8550376070508489,r2100006.trees
8671.0,8800.0,100,0.4559689706489186,r2100006.trees
8800.0,8939.0,100,0.4495251434814301,r2100006.trees
8939.0,9328.0,100,0.6947999557396654,r2100006.trees
9537.0,9791.0,100,0.6580845654028926,r2100006.trees
9791.0,9948.0,100,0.5537114498397895,r2100006.trees
4899.0,4988.0,100,0.9114501926140818,r2100006.trees
