start,end,N,SS,TajD,FayH,bsfs,ZngE,FulD,FerL,btree,Colless,path,iColless,ibtree
0,100001.0,50,464,-0.15324084464203588,0.035134803821255785,0.18597089273387105,-0.41877847507824456,0.9859843386328864,0.3872692739889361,-0.1541969062776523,0.14396219317219974,9070039,0.1421327790375409,-0.39076688547882
0,100001.0,50,344,-0.4041147540096386,-0.010565727216242214,-1.1438265923008444,-0.338622047036489,1.6572489024444637,0.1488132173928629,0.3518010628305851,0.1254837264247016,9070040,0.15742928750447546,-0.7299511000890021
0,100001.0,50,370,-0.1739332220392618,-0.09362225517711607,-1.1446000221131774,0.5114260616932564,0.6704915597933829,-0.6859521339366036,-0.9421470094158904,0.16489732538978305,9070041,0.19181612038754908,-1.6314894549540726
0,100001.0,50,354,-0.014147613131446654,-0.0374797420959855,-0.2563309242554052,0.26172588136369196,1.4760885985128818,-0.3070109826748264,-0.4733667259332868,0.15129708599857844,9070042,0.16758078231292522,-1.1478012185375972
0,100001.0,50,424,0.07025034066634163,-0.04278592563988875,-0.26447963659505075,0.3891048324494695,0.30606346425214337,-0.4024747021140156,-0.5562178389670135,0.14959703093059906,9070043,0.16559688391485625,-1.0209207360718202
0,100001.0,50,404,-0.17677700681424793,-0.05594930201523725,-0.5528792819648455,0.2310216281466817,1.0704934611745078,-0.3676856508181283,-1.0511417678310884,0.16762204881952786,9070044,0.203042328042328,-1.8285708274702537
0,100001.0,50,454,-0.0111296119917952,0.044321629031967236,0.3788338818723837,-0.3397808693741205,-0.25806503299822314,0.3809862531968176,0.27583611093233434,0.1181433549029368,9070045,0.14191089969822518,-0.23161141700119844
0,100001.0,50,346,-0.818199301675539,-0.1923917591694135,-3.1139206821603547,0.5744040256816564,1.286721703966648,-1.1367741608700648,-2.248177763955613,0.2196746796878261,9070046,0.2145723457922496,-2.107384773756631
0,100001.0,50,447,0.6397273986145077,0.014814106682191668,1.0481020108133687,0.5515544452105268,-0.44254092744195295,-0.25199662344021545,-0.10957154802919784,0.12996654705838373,9070047,0.14174107142857134,-0.34483297235492893
0,100001.0,50,491,-0.32862966137585337,-0.0368730261641745,-0.44521507431041424,-0.0665440967219303,0.8716308396080866,-0.11797671497613865,-1.460266200281534,0.1939180434078392,9070048,0.21196515989573392,-1.911981275852712
0,100001.0,50,449,-0.4214688324097907,-0.018410618774735918,-0.9746950407347224,-0.2993312451054336,1.689759113204093,0.0929567871841528,0.5469822278697527,0.1095306809592523,9070049,0.13477237048665622,-0.2203410484599976
0,100001.0,50,440,0.050934737077331815,-0.02378382728244344,-0.14672137012928135,0.2287059202785801,0.4782983448071872,-0.23085256182861266,-1.0115520091727257,0.16903369534948473,9070050,0.17596819429526184,-1.2396106075677158
0,100001.0,50,411,-0.5435177489203511,-0.08956350239990976,-1.8872973908237287,0.1009099317547918,1.1764756424682403,-0.435298292871275,-1.5446570240498294,0.18132612326367686,9070051,0.1796262808921036,-1.5483529414186117
0,100001.0,50,329,0.1875189316094242,-0.042159587903027734,0.08128347031350995,0.5034549051484803,0.1292571504039035,-0.46443812710851096,0.4295030255350432,0.11713048855906012,9070052,0.12747098839535811,-0.05181430522209416
0,100001.0,50,406,0.13646253537463596,-0.039095294245202215,-0.06476886581864508,0.4299120955786756,0.5019400995507572,-0.4100869083652359,-0.02557425292304221,0.12596222699606166,9070053,0.18130114364586414,-1.340294149906016
0,100001.0,50,473,0.2494538623297444,0.012442736982866165,0.5014333085168973,0.16576768700976066,-0.2547412859518172,-0.041939990831099234,0.02514990489540039,0.1366886337868481,9070054,0.14355708269702436,-0.2883300102984285
0,100001.0,50,394,0.00697860876583615,-0.02934985044384382,-0.1799043126584185,0.22404249807818966,0.053696803524725466,-0.2515074283246275,-0.3741898218753627,0.14429176578606914,9070055,0.16370390261367712,-0.9797220422326148
