start,end,N,SS,TajD,FayH,FulD,FerL,bsfs,ZngE,Colless,btree,path,iColless,ibtree
0,100001.0,50,547,-0.08366732619596351,-0.05214802241828762,-0.47660888563465,-0.3922386810831465,-0.31563786196652016,0.3006913527558329,0.12785393127207953,-0.21976630037034506,8010010,0.13947182646643574,-0.4846065058033469
0,100001.0,50,396,-0.3981500351881252,-0.06172897547853232,0.6350224901230822,-0.2859067976583574,-1.3764264052415889,0.04508589639422236,0.1258294728934518,-0.05748534228206384,8010011,0.13092761376395218,-0.2138657311143985
0,100001.0,50,444,0.2958861119718465,0.04658345351700651,-0.3898939272016762,0.2189895653447004,0.9104222790627372,-0.03907959809375906,0.11023242630385488,0.3698519859330745,8010012,0.12448979591836733,-0.04378113098665707
0,100001.0,50,405,-0.7812942617523011,-0.016393905394373156,-0.14683245536749814,0.3219384248030692,-0.9416749795382456,-0.6855607773469979,0.1477625996635213,-0.5246276640099485,8010013,0.13987469987995207,-0.5181385539992412
0,100001.0,50,544,-0.677067628005438,-0.11188467833779234,0.4386756853800572,-0.5477708459544038,-2.064736889819525,0.12986631410942162,0.1420226230026896,-0.5359847289493869,8010014,0.1294879062736205,-0.2655085291021623
0,100001.0,50,368,-4.830370837813986e-05,0.07615162156871379,0.8126269411350489,0.6411767178702469,0.7307998071441877,-0.5619108385576183,0.1261119832548403,0.2514584784108261,8010015,0.13252223966509682,-0.2287161578362513
0,100001.0,50,389,-0.6162770076266021,-0.04199539503897767,1.010039708397923,0.008947524774192497,-1.3127514709016754,-0.32587350773351464,0.14457183972490092,-0.4655488572627456,8010016,0.1675878684807256,-0.8721426930200741
0,100001.0,50,371,0.13718198099360393,0.0823902755070088,-0.7762318505080483,0.6130368927968352,0.7039722607931561,-0.466482713300424,0.10314039408866994,0.5996035168638101,8010017,0.11814506504356127,0.3692554233017045
0,100001.0,50,496,-0.021204736863248568,-0.013778057782677943,-0.007223916773511186,-0.10402901523739563,-0.06664083739381597,0.08025264967630984,0.1183857977153126,0.20661765150622055,8010018,0.12001861555432985,0.34708969704724746
0,100001.0,50,477,0.2276363590802407,0.02945474743835229,-0.5909759568864212,0.1147472070096545,0.2976467263409615,0.017107537138113204,0.11653061224489795,0.4546631106688041,8010019,0.12290327089740008,0.15821837653798307
0,100001.0,50,386,0.2394229155786711,-0.032618798857934776,-0.10711068774521744,-0.41581958005429903,0.19482749061461407,0.4879830863603754,0.13728815225512173,-0.057908342709029816,8010020,0.14518212348230428,-0.3861839684349269
0,100001.0,50,382,0.6160312123098467,0.03771746800869633,-1.0812638187904546,-0.04489270629386008,0.8981963974308591,0.3571826686488944,0.11835404552882607,0.4906469419935107,8010021,0.1295542255363684,0.10340095297669437
0,100001.0,50,358,0.3220694702124512,-0.07668712189765729,-1.3047366310096569,-0.8348205750152214,0.1231336413824404,0.8975736442689667,0.12049033096384623,0.07559071811149826,8010022,0.14399677396731886,-0.4405766931251293
0,100001.0,50,438,0.0325431238906781,0.045711171687722096,0.3940329581067142,0.3667777669781557,0.5429154195687934,-0.3047315867569568,0.1296466674101336,0.1141038167312124,8010023,0.136964962976341,-0.1635240304928988
0,100001.0,50,459,-0.3490507049720977,-0.09884403651221634,0.031703543108383164,-0.6293498304114449,-0.9897439925647408,0.37134776478286186,0.14337511654407967,-0.4102298446614032,8010024,0.16885225164445938,-0.8941988371367139
0,100001.0,50,477,0.06468502300655977,-0.003900400345717872,-0.5909759568864209,-0.07112391202476646,0.08813220505723236,0.09581528627490962,0.12600928221756005,-0.009190474090059929,8010025,0.11969024250921742,0.2871586587773608
0,100001.0,50,371,0.11233582222584054,0.02577313480224772,0.1412524526134862,0.1509107755223585,0.4853588191095104,-0.07431198188596726,0.1168248000954768,0.4205681988997904,8010026,0.13328647785644873,-0.2921377655082797
0,100001.0,50,458,-0.3178159428683947,-0.05053273216132944,0.653713966166933,-0.2395626679570147,-0.7120662550291025,0.0457457319165981,0.16159881037842266,-1.0340090945643992,8010027,0.1810288335517694,-1.2846186407972682
0,100001.0,50,435,0.13634682567693726,0.022675695037128428,-0.22762144644727214,0.11108242434050464,0.30900248767350724,-0.026934997153739686,0.10801320528211278,0.46965959193328605,8010028,0.1220488195278111,0.13048789323885512
0,100001.0,50,481,0.03486609590035385,-0.13198002097211373,0.03365859841181997,-1.1364284060175645,-0.861054640666759,1.0145036098213376,0.1370050584336298,-0.4455777099828031,8010029,0.16327913279132789,-1.1179399318117074
0,100001.0,50,393,0.1279547755050397,-0.007141314887628752,-0.6535625735818907,-0.13554000514757658,0.2401785650000858,0.18483618695531706,0.14545818327330934,-0.3799951980813303,8010030,0.13321995464852612,-0.15356183077932614
0,100001.0,50,533,0.062302010723295526,0.006137994134676358,-0.12424546867179345,0.01519095044213077,0.17491921374406358,0.018928612576784826,0.14565672422815265,-0.21531459612665668,8010031,0.1440556088207095,-0.14840317035857434
0,100001.0,50,400,-0.21125707700549964,0.05020249548554352,-0.21856981149327295,0.5476952961386354,0.06612724483634687,-0.5891133589483815,0.09798156104547076,0.7075151846600111,8010032,0.11100564256710437,0.4081655718365105
0,100001.0,50,451,0.1967547915639906,0.05739008448061352,0.1892451623259971,0.3687845516359307,0.6557400846499463,-0.221629819970914,0.12533018526559567,0.2579581126277564,8010033,0.12210884353741497,0.2544671522520351
0,100001.0,50,455,0.3364416443980217,-0.026761564249610396,-0.10190244737111663,-0.42444469653522304,0.27439427659979576,0.5460423067010399,0.11480491667566492,0.3739158047648842,8010034,0.1210423421705131,0.20927451710485
0,100001.0,50,486,-0.6815625399438661,-0.15857779083626355,0.7619423089134257,-0.9388962102147416,-2.747869229473568,0.4707530948664151,0.1636969508615629,-0.9921584795002988,8010035,0.1618665582174899,-0.9642171700292956
0,100001.0,50,452,-0.06915542209697513,-0.006604106234774084,-0.4085397222922468,-0.015016848428621112,-1.8242088097750183e-06,-0.022579092620272998,0.13174896395339733,0.06331389873533919,8010036,0.15132291854795013,-0.5952768588594105
0,100001.0,50,458,0.553505052405684,0.023430554830566813,-0.5110759908365187,-0.12838698656266714,0.7707803044887722,0.3986964997138267,0.1039828093399522,0.6191291959087388,8010037,0.11737626084916727,0.14349405717817548
0,100001.0,50,589,0.8500707197580348,0.028675289451337137,-1.181727604007948,-0.25902450684285705,0.9232820603863632,0.6676053806916925,0.10441433855095444,0.7354887579779058,8010038,0.10917388538149067,0.5444548483274249
0,100001.0,50,482,-0.06685988322563262,0.0027880942558832977,-0.4037844581618554,0.06300983647475121,-0.07620657258528818,-0.08982981376659467,0.13528954295285947,-0.09839799574824402,8010039,0.1455907866502306,-0.4959008839753139
0,100001.0,50,458,-0.1944432923204782,0.04253331366190685,0.07131898766520711,0.4740079857998688,0.048238886202600265,-0.516108198251911,0.10427721088435377,0.3294192402458765,8010040,0.1171395387423262,0.23819260723611035
0,100001.0,50,394,0.6847451965515632,0.038881694396400567,-0.5851123927023739,-0.0754784292192562,1.3031251647609707,0.4195710532844983,0.1148526077097507,0.4234666190748004,8010041,0.12402940974369545,0.17553990544811438
0,100001.0,50,382,0.1443301573912398,-0.08302086840170149,-0.26752256089203946,-0.7844066982028969,-0.2910558369285244,0.7619316935265108,0.12406979366332152,-0.03154179557207542,8010042,0.15442812639074324,-0.8153045781755209
0,100001.0,50,420,0.3991836233347219,0.030634526301329942,0.0934584300156382,0.023297117104606656,0.5630826939296647,0.1857516260774286,0.1113058967662895,0.6236752124419478,8010043,0.12368583797155225,0.15328579719022606
0,100001.0,50,472,-0.06996816481314838,0.012991355199435086,0.09710955669483852,0.15107377258282964,-0.10491157903704992,-0.16864364096543666,0.11734693877551032,0.3425130533034486,8010044,0.1279102158104622,0.04656019664442641
0,100001.0,50,469,-0.4419114737768341,-0.06672623621387112,0.4664039760302475,-0.3033562261034861,-0.940282030618614,0.037486882762376335,0.14681653911564627,-0.5160740558099305,8010045,0.16407277196592926,-0.8124548793104072
0,100001.0,50,386,-0.032945170871579714,-0.015775669082847745,-0.7207215491733677,-0.11353487476583175,-0.16813560207602174,0.08250610428447974,0.14020737327188934,-0.4193437427260433,8010046,0.13492063492063489,-0.2536199828702365
